prognosis,cure
(vertigo) Paroymsal  Positional Vertigo,
AIDS,Antiretroviral therapy (ART) under specialist care; lifelong treatment and monitoring. Seek infectious disease specialist.
Acne,
Alcoholic hepatitis,
Allergy,Avoid known allergens; antihistamines for mild cases; seek medical care for severe allergic reactions (epinephrine). Consult doctor for tests and treatment.
Arthritis,
Bronchial Asthma,Inhaled bronchodilators and corticosteroids; avoid triggers and have an action plan. Managed by pulmonologist/allergist.
Cervical spondylosis,"Physical therapy, pain management, and in severe cases surgery. Consult an orthopedist/neurosurgeon for persistent symptoms."
Chicken pox,
Chronic cholestasis,Management depends on cause; may include medications to improve bile flow and treat underlying liver conditions. See a hepatologist.
Common Cold,"Rest, fluids, symptomatic care (decongestants, analgesics); usually self-limiting."
Dengue,
Diabetes ,"Lifestyle changes, blood glucose monitoring, oral medications or insulin as prescribed. Managed by endocrinologist/physician."
Dimorphic hemmorhoids(piles),
Drug Reaction,Stop the suspected drug and seek medical attention; supportive care and treatment depend on severity. Consult prescribing doctor.
Fungal infection,Common treatments include topical or oral antifungal medications; keep affected area clean and dry. Consult a clinician for diagnosis and prescription.
GERD,"Lifestyle changes (diet, head-of-bed elevation), antacids or proton-pump inhibitors (PPI). Consult a physician for chronic symptoms."
Gastroenteritis,Hydration and electrolyte replacement; antimicrobials if bacterial cause suspected. Rest and supportive care; consult physician for severe cases.
Heart attack,Emergency care required — call emergency services immediately. This is a medical emergency.
Hepatitis B,
Hepatitis C,
Hepatitis D,
Hepatitis E,
Hypertension ,"Lifestyle modifications, antihypertensive medications as prescribed; regular monitoring by physician."
Hyperthyroidism,
Hypoglycemia,
Hypothyroidism,
Impetigo,Topical or oral antibiotics; hygiene measures and clinician consultation.
Jaundice,"Depends on cause (e.g., hepatitis, obstruction); urgent medical evaluation needed to identify and treat the cause."
Malaria,Antimalarial medications per local guidelines; seek prompt medical care and testing.
Migraine,Acute pain relief (NSAIDs or triptans) and preventive medications for frequent attacks; consult neurologist if severe.
Osteoarthristis,
Paralysis (brain hemorrhage),
Peptic ulcer diseae,"Proton-pump inhibitors, H. pylori eradication therapy if infected, and avoiding NSAIDs; consult gastroenterologist."
Pneumonia,"Antibiotics for bacterial pneumonia, supportive care; seek medical evaluation and possible hospitalization depending on severity."
Psoriasis,"Topical treatments, phototherapy, or systemic agents depending on severity; consult dermatologist."
Tuberculosis,Standard multi-drug anti-TB therapy per national guidelines; treatment under supervision by TB program.
Typhoid,
Urinary tract infection,Antibiotics per urine culture/sensitivity; increase fluids and consult physician.
Varicose veins,
hepatitis A,
"Chicken pox": "Calamine lotion, oatmeal bath, antihistamines, avoid scratching, isolation to prevent spread, consult doctor if high fever."
